postcode,lat,lon
3135,145.246,37.8195
3136,145.28,37.7928
3137,145.318,37.8207
3138,145.324,37.7822
3139,145.533,37.8105
3140,145.37,37.7631
3141,144.989,37.8396
3142,145.017,37.8424
3143,145.019,37.8592
3144,145.033,37.8571
3145,145.053,37.8757
3146,145.058,37.8581
3147,145.088,37.8678
3148,145.088,37.8833
3149,145.127,37.8797
3150,145.175,37.8932
3151,145.149,37.855
3152,145.221,37.8647
3153,145.271,37.8371
3154,145.318,37.8584
3155,145.282,37.8552
3156,145.295,37.9215
3158,145.326,37.9062
3159,145.392,37.9221
3160,145.352,37.9265
3161,145.025,37.875
3162,145.024,37.8927
3163,145.055,37.8949
3164,145.209,38.0038
3165,145.063,37.9233
3166,145.093,37.901
3167,145.092,37.9276
3168,145.129,37.916
3169,145.118,37.9449
3170,145.176,37.9218
3171,145.161,37.9455
3172,145.131,37.9756
3173,145.165,38.0076
3174,145.179,37.9615
3175,145.209,38.0038
3176,145.217,37.9039
3177,145.238,37.9909
3178,145.24,37.9325
3179,145.217,37.9039
3180,145.246,37.8883
3181,144.995,37.8542
3182,144.979,37.8652
3183,144.999,37.8696
3184,144.985,37.8826
3185,145.003,37.8898
3186,144.995,37.908
3187,145.018,37.9178
3188,145.005,37.9386
3189,145.051,37.938
3190,145.039,37.9518
3191,145.011,37.9547
3192,145.059,37.9635
3193,145.03,37.9799
3194,145.098,37.9862
3195,145.108,38.0104
3196,145.123,38.0468
3197,145.133,38.0698
3198,145.142,38.1071
3199,145.136,38.1658
3200,145.16,38.1287
3201,145.184,38.0934
3202,145.094,37.9568
3204,145.037,37.9161
3205,144.952,37.8329
3206,144.959,37.8491
3207,144.923,37.8355
3211,144.483,37.9805
3212,144.414,38.0302
3213,145.16,38.1287
3214,144.371,38.0851
3215,144.34,38.1113
3216,144.315,38.2148
3218,144.329,38.1391
3219,144.388,38.1718
3220,144.346,38.1585
3221,144.312,38.0238
3222,144.585,38.2065
3223,144.654,38.1537
3224,144.457,38.2065
3225,144.663,38.2663
3226,144.526,38.2686
3227,144.427,38.259
3228,144.296,38.3212
3230,144.177,38.4149
3231,144.076,38.459
3232,143.975,38.5418
3233,143.667,38.7039
3235,143.928,38.4229
3236,143.714,38.5215
3237,143.423,38.7156
3238,143.49,38.7962
3239,143.437,38.5909
3240,144.141,38.273
3241,143.911,38.2509
3242,143.754,38.3655
3243,143.803,38.3632
3249,143.641,38.3374
3250,143.588,38.3078
3251,143.622,38.1461
3254,143.522,38.2888
3260,143.225,38.2036
3264,142.832,38.2138
3265,142.73,38.3051
3266,143.155,38.4345
3267,143.091,38.4482
